rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
230,Post Malone,25500000,"14,40,12,18,086",Music,Post Malone,78,United States,US,Music,243,69,69,195499000,48900,782000,586500,9400000,100000,2011,Dec,15,88.2,328239523,14.7,270663028,37.09024,-95.712891
231,Rans Entertainment,25400000,"6,43,08,53,035",People & Blogs,Rans Entertainment,3716,Indonesia,ID,Entertainment,942,6,62,58487000,14600,233900,175500,2800000,100000,2015,Dec,27,36.3,270203917,4.69,151509724,-0.789275,113.921327
232,LankyBox,25400000,"34,30,04,82,066",Comedy,LankyBox,8775,United States,US,Games,29,69,18,815341000,203800,3300000,2400000,39100000,600000,2016,Jul,30,88.2,328239523,14.7,270663028,37.09024,-95.712891
233,Coldplay,25300000,"17,33,16,63,193",Music,Coldplay,398,United Kingdom,GB,Music,160,8,70,198875000,49700,795500,596600,9500000,100000,2010,Jan,3,60,66834405,3.85,55908316,55.378051,-3.435973
234,Las Ratitas,25200000,"9,60,22,46,828",People & Blogs,LAS RATITAS,4,nan,nan,People,4051936,nan,7690,11,0,0.04,0.03,0.53,nan,2019,May,31,nan,nan,nan,nan,nan,nan
235,WB Kids,25200000,"11,08,16,02,368",People & Blogs,WB Kids,2025,United States,US,Film,375,70,16,140319000,35100,561300,421000,6700000,300000,2015,Mar,31,88.2,328239523,14.7,270663028,37.09024,-95.712891
236,ABPLIVE,25200000,"7,96,83,63,381",People & Blogs,ABPLIVE,12,nan,nan,People,4026389,nan,7421,2,0,0.01,0.01,0.1,nan,2014,Jul,26,nan,nan,nan,nan,nan,nan
237,Chris Brown,25200000,"15,52,05,69,496",Music,ChrisBrown,0,nan,nan,nan,3612215,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
238,The Lallantop,25200000,"10,40,93,52,249",News & Politics,The Lallantop,51129,India,IN,News,408,52,6,273920000,68500,1100000,821800,13100000,300000,2015,Mar,23,28.1,1366417754,5.36,471031528,20.593684,78.96288
239,RihannaVEVO,25100000,"19,45,88,07,708",Music,RihannaVEVO,118,United States,US,Music,130,71,72,94246000,23600,377000,282700,4500000,nan,2009,May,12,88.2,328239523,14.7,270663028,37.09024,-95.712891
240,WatchMojo.com,25100000,"16,35,70,64,198",Music,WatchMojo.com,24837,Canada,CA,Entertainment,180,6,64,49009000,12300,196000,147000,2400000,nan,2007,Jan,25,68.9,36991981,5.56,30628482,56.130366,-106.346771
241,TRANS7 OFFICIAL,25000000,"14,16,95,16,119",Entertainment,TRANS7 OFFICIAL,89179,Indonesia,ID,Entertainment,251,7,64,123189000,30800,492800,369600,5900000,100000,2014,Sep,4,36.3,270203917,4.69,151509724,-0.789275,113.921327
242,Anuel AA,25000000,"14,82,70,85,149",Music,Anuel AA,147,Colombia,CO,Music,225,6,73,284144000,71000,1100000,852400,13600000,300000,2016,Sep,8,55.3,50339443,9.71,40827302,4.570868,-74.297333
243,Dan Rhodes,24800000,"17,38,75,83,720",Entertainment,Dan Rhodes,1644,United Kingdom,GB,Entertainment,157,9,66,331889000,83000,1300000,995700,15900000,500000,2015,Oct,30,60,66834405,3.85,55908316,55.378051,-3.435973
244,Yuya,24800000,"2,58,85,01,115",Howto & Style,Yuya,672,Mexico,MX,Howto,3505,9,6,336291,84,1300,1000,16100,nan,2009,Sep,20,40.2,126014024,3.42,102626859,23.634501,-102.552784
245,America's Got Talent,24800000,"3,69,93,52,704",Entertainment,America's Got Talent,1894,United States,US,Entertainment,2122,72,65,134412000,33600,537600,403200,6500000,400000,2006,Jun,29,88.2,328239523,14.7,270663028,37.09024,-95.712891
246,mujjuu___14,24800000,"14,65,55,27,943",People & Blogs,mujjuu___14,872,nan,nan,People,234,nan,8,400222000,100100,1600000,1200000,19200000,900000,2020,May,18,nan,nan,nan,nan,nan,nan
247,EminemVEVO,24700000,"20,53,17,04,527",Music,EminemVEVO,104,United States,US,Music,115,73,74,139443000,34900,557800,418300,6700000,100000,2009,May,12,88.2,328239523,14.7,270663028,37.09024,-95.712891
248,Chloe Ting,24700000,"2,99,47,26,412",Howto & Style,Chloe Ting,412,Australia,AU,Howto,2897,2,7,23263000,5800,93100,69800,1100000,nan,2011,Aug,17,113.1,25766605,5.27,21844756,-25.274398,133.775136
249,KatyPerryVEVO,24600000,"23,75,57,92,542",Music,KatyPerryVEVO,175,United States,US,Music,82,74,75,88940000,22200,355800,266800,4300000,100000,2009,Dec,13,88.2,328239523,14.7,270663028,37.09024,-95.712891
250,Mark Rober,24600000,"3,64,79,87,299",Science & Technology,Mark Rober,120,United States,US,Tech,2178,74,3,88625000,22200,354500,265900,4300000,200000,2011,Oct,20,88.2,328239523,14.7,270663028,37.09024,-95.712891
251,1theK (ï¿½ï¿½ï¿½ï¿½ï,24500000,"23,96,20,70,944",Music,1theK (ï¿½ï¿½ï¿½ï¿½ï,18950,South Korea,KR,Entertainment,79,6,67,105567000,26400,422300,316700,5100000,nan,2011,Jan,31,94.3,51709098,4.15,42106719,35.907757,127.766922
252,Like Nastya AE,24400000,"12,38,59,24,995",Entertainment,Like Nastya AE,658,United States,US,Entertainment,312,75,68,169865000,42500,679500,509600,8200000,400000,2018,Dec,19,88.2,328239523,14.7,270663028,37.09024,-95.712891
253,Amit Bhadana,24300000,"2,38,02,48,899",Entertainment,Amit Bhadana,17,nan,nan,People,4054185,nan,7710,5,0,0.02,0.02,0.24,nan,2009,Dec,31,nan,nan,nan,nan,nan,nan
254,Pen Movies,24300000,"6,60,87,73,195",Film & Animation,Pen Movies,1667,India,IN,Film,903,53,17,94853000,23700,379400,284600,4600000,300000,2014,Mar,25,28.1,1366417754,5.36,471031528,20.593684,78.96288
255,MrBeast en Espaï¿½ï,24200000,"2,70,09,14,170",Entertainment,MrBeast en Espaï¿½ï,67,Mexico,MX,Entertainment,3309,10,70,33590000,8400,134400,100800,1600000,100000,2021,Jul,9,40.2,126014024,3.42,102626859,23.634501,-102.552784
256,shfa show India,24200000,"15,72,41,60,183",nan,shfa show India,469,United Arab Emirates,AE,People,203,3,9,151208000,37800,604800,453600,7300000,200000,2019,Apr,1,36.8,9770529,2.35,8479744,23.424076,53.847818
257,Super JoJo - Nursery Rhymes & Kids Songs,24100000,"32,97,74,870",nan,Super JoJo - Nursery Rhymes & Kids Songs,36,United States,US,Education,40117,77,15,328503000,82100,1300000,985500,15800000,100000,2019,May,31,88.2,328239523,14.7,270663028,37.09024,-95.712891
258,Alejo Igoa,24100000,"10,99,90,00,479",Comedy,Alejo Igoa,802,Argentina,AR,Entertainment,376,4,71,401512000,100400,1600000,1200000,19300000,600000,2014,Jan,17,90,44938712,9.79,41339571,-38.416097,-63.616672
259,Daniel LaBelle,24100000,"12,91,61,59,065",Comedy,Daniel LaBelle,287,nan,nan,Comedy,290,nan,14,398765000,99700,1600000,1200000,19100000,700000,2009,Mar,11,nan,nan,nan,nan,nan,nan
260,netd mï¿½ï¿,24100000,"56,10,60,87,508",Music,netd mï¿½ï¿,23491,Turkey,TR,Music,14,2,76,424815000,106200,1700000,1300000,20400000,200000,2014,Jan,23,23.9,83429615,13.49,63097818,38.963745,35.243322
261,DJ Snake,24100000,"8,42,55,05,919",Music,DJ Snake,252,United States,US,Music,602,77,76,63293000,15800,253200,189900,3000000,nan,2008,Sep,24,88.2,328239523,14.7,270663028,37.09024,-95.712891
262,Diana and Roma ARA,24100000,"11,04,12,61,296",nan,Diana and Roma ARA,590,United States,US,Entertainment,379,76,70,66884000,16700,267500,200700,3200000,200000,2019,Feb,1,88.2,328239523,14.7,270663028,37.09024,-95.712891
263,KSI,24100000,"6,00,21,66,932",Entertainment,KSI,1252,United Kingdom,GB,Music,1053,10,76,5439000,1400,21800,16300,261100,nan,2009,Jul,25,60,66834405,3.85,55908316,55.378051,-3.435973
264,Spider Slack,24000000,"13,94,30,30,228",Comedy,Spider Slack,901,Brazil,BR,Comedy,252,13,14,761451000,190400,3000000,2300000,36500000,1100000,2020,May,18,51.3,212559417,12.08,183241641,-14.235004,-51.92528
265,Goldmines Movies,24000000,"5,65,29,38,599",Film & Animation,Ti Ti,3,nan,nan,People,4057888,nan,7725,3,0,0.01,0.01,0.14,nan,2018,Apr,30,nan,nan,nan,nan,nan,nan
266,Preston,24000000,"8,27,90,04,442",Gaming,Preston,4009,United States,US,Entertainment,621,78,72,151697000,37900,606800,455100,7300000,200000,2012,Jul,4,88.2,328239523,14.7,270663028,37.09024,-95.712891
267,James Charles,23900000,"4,06,78,78,931",Entertainment,James Charles,505,United States,US,Entertainment,1860,79,73,58126000,14500,232500,174400,2800000,100000,2015,Dec,1,88.2,328239523,14.7,270663028,37.09024,-95.712891
268,Collins Key,23900000,"6,58,29,32,625",Entertainment,Collins Key,257,United States,US,Entertainment,911,79,73,10853000,2700,43400,32600,520900,nan,2011,Aug,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
269,Diana and Roma EN,23900000,"7,21,34,99,085",People & Blogs,Diana and Roma EN,511,United States,US,Entertainment,787,79,73,177769000,44400,711100,533300,8500000,300000,2011,Dec,22,88.2,328239523,14.7,270663028,37.09024,-95.712891
270,Venus Entertainment,23800000,"5,66,31,25,358",Entertainment,Venus Entertainment,70,nan,nan,Entertainment,367929,nan,2500,31633,8,127,95,1500,nan,2016,May,17,nan,nan,nan,nan,nan,nan
271,Troom Troom,23800000,"10,41,44,79,943",Howto & Style,Troom Troom,2425,United States,US,Howto,412,80,8,98052000,24500,392200,294200,4700000,100000,2015,Sep,12,88.2,328239523,14.7,270663028,37.09024,-95.712891
272,Enrique Iglesias,23800000,"17,68,87,74,915",Music,Enrique Iglesias,443,United States,US,Music,154,80,77,122914000,30700,491700,368700,5900000,100000,2007,Apr,12,88.2,328239523,14.7,270663028,37.09024,-95.712891
273,Ninja,23700000,"2,54,38,09,954",Gaming,Ninja,1732,United States,US,Games,3590,81,19,8368000,2100,33500,25100,401700,nan,2011,Nov,11,88.2,328239523,14.7,270663028,37.09024,-95.712891
274,FaZe Rug,23700000,"7,45,17,92,132",Gaming,FaZeRug,0,Canada,CA,Games,4057944,3885,7268,nan,0,0,0,0,1,2012,Nov,30,68.9,36991981,5.56,30628482,56.130366,-106.346771
275,Mister Max,23700000,"15,51,01,53,803",People & Blogs,Mister Max,1099,United Kingdom,GB,Entertainment,208,11,74,32817000,8200,131300,98400,1600000,nan,2014,Sep,22,60,66834405,3.85,55908316,55.378051,-3.435973
276,That Little Puff,23700000,"20,28,96,89,389",Pets & Animals,That Little Puff,769,United States,US,Animals,118,81,1,755054000,188800,3000000,2300000,36200000,1100000,2020,Aug,29,88.2,328239523,14.7,270663028,37.09024,-95.712891
277,NickyJamTV,23600000,"15,90,18,24,841",Music,NickyJamTV,392,nan,nan,Music,193,3,78,77927000,19500,311700,233800,3700000,100000,2012,Jan,10,nan,nan,nan,nan,nan,nan
278,Juan De Dios Pantoja,23600000,"2,13,56,44,776",Entertainment,Juan De Dios Pantoja,226,Mexico,MX,People,4529,11,10,46862000,11700,187400,140600,2200000,200000,2014,Jun,9,40.2,126014024,3.42,102626859,23.634501,-102.552784
279,Logan Paul,23600000,"5,99,40,02,464",Entertainment,Logan Paul,719,United States,US,Entertainment,1057,82,75,10803000,2700,43200,32400,518600,nan,2015,Aug,29,88.2,328239523,14.7,270663028,37.09024,-95.712891
280,Maya and Mary,23600000,"6,76,64,61,070",Entertainment,Maya and Mary,552,United States,US,Entertainment,883,82,75,44542000,11100,178200,133600,2100000,400000,2013,Aug,30,88.2,328239523,14.7,270663028,37.09024,-95.712891
281,Peppa Pig Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,23600000,"7,92,06,37,200",Film & Animation,Peppa Pig Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,1251,United Kingdom,GB,Film,668,12,19,53589000,13400,214400,160800,2600000,100000,2014,Jul,28,60,66834405,3.85,55908316,55.378051,-3.435973
282,Jelly,23500000,"14,77,70,34,543",Gaming,Jelly,6066,United Kingdom,GB,Games,229,13,20,41669000,10400,166700,125000,2000000,nan,2014,May,27,60,66834405,3.85,55908316,55.378051,-3.435973
283,Miss Katy,23500000,"14,69,69,94,366",People & Blogs,Miss Katy,1044,United Kingdom,GB,Entertainment,235,13,76,59629000,14900,238500,178900,2900000,nan,2014,Nov,17,60,66834405,3.85,55908316,55.378051,-3.435973
284,Tilak,23400000,"9,46,58,63,821",Film & Animation,Tilak,6672,India,IN,Film,493,56,20,367347000,91800,1500000,1100000,17600000,900000,2020,Oct,10,28.1,1366417754,5.36,471031528,20.593684,78.96288
285,Valentina Pontes ofc,23400000,"7,92,68,99,136",Film & Animation,Valentina Pontes ofc,1291,Brazil,BR,Entertainment,667,14,77,28285000,7100,113100,84900,1400000,nan,2014,Apr,14,51.3,212559417,12.08,183241641,-14.235004,-51.92528
286,Sesame Street,23300000,"22,47,13,57,411",Entertainment,Sesame Street,3657,United States,US,Entertainment,99,83,78,124187000,31000,496700,372600,6000000,100000,2006,Jan,16,88.2,328239523,14.7,270663028,37.09024,-95.712891
287,Happy Lives,23200000,"2,634",Science & Technology,Happy Lives,1,United States,US,Entertainment,4053372,84,79,6589000000,0,0,0,0,100000,2016,Mar,15,88.2,328239523,14.7,270663028,37.09024,-95.712891
288,Lady Gaga,23200000,"15,75,16,61,213",People & Blogs,Lady Gaga,172,United States,US,Music,198,83,79,143169000,35800,572700,429500,6900000,100000,2008,May,15,88.2,328239523,14.7,270663028,37.09024,-95.712891
289,Akshay Nagwadiya,23200000,"7,96,67,20,147",Entertainment,Akshay Nagwadiya,595,nan,nan,Entertainment,660,nan,79,321179000,80300,1300000,963500,15400000,900000,2017,Oct,25,nan,nan,nan,nan,nan,nan
290,Wave Music Bhojpuri,23100000,"12,88,92,40,875",Music,Wave Music Bhojpuri,22578,India,IN,Music,293,59,81,52678000,13200,210700,158000,2500000,100000,2014,Aug,10,28.1,1366417754,5.36,471031528,20.593684,78.96288
291,GMM GRAMMY OFFICIAL,23100000,"25,57,98,31,081",Music,GMM GRAMMY OFFICIAL,15462,Thailand,TH,Music,68,4,81,130233000,32600,520900,390700,6300000,nan,2010,Nov,8,49.3,69625582,0.75,35294600,15.870032,100.992541
292,TED,23100000,"2,55,11,13,422",People & Blogs,TED,4445,United States,US,Tech,3568,85,4,13246000,3300,53000,39700,635800,100000,2006,Dec,6,88.2,328239523,14.7,270663028,37.09024,-95.712891
293,unknown boy varun,23100000,"9,29,93,71,231",Music,unknown boy varun,456,India,IN,Music,506,58,80,304021000,76000,1200000,912100,14600000,700000,2016,Sep,27,28.1,1366417754,5.36,471031528,20.593684,78.96288
294,Kids TV - Nursery Rhymes And Baby Songs,23100000,"13,15,18,70,846",Shows,Kids TV - Nursery Rhymes And Baby Songs,3781,United States,US,Music,282,85,81,128448000,32100,513800,385300,6200000,700000,2013,Aug,30,88.2,328239523,14.7,270663028,37.09024,-95.712891
295,Tsuriki Show,23000000,"31,49,45,13,067",Entertainment,Tsuriki Show,2905,Germany,DE,Comedy,34,1,15,756717000,189200,3000000,2300000,36300000,800000,2019,Jul,10,70.2,83132799,3.04,64324835,51.165691,10.451526
296,Technical Guruji,23000000,"3,37,80,47,383",Science & Technology,Technical Guruji,5041,India,IN,Tech,2420,60,5,22262000,5600,89000,66800,1100000,nan,2015,Oct,19,28.1,1366417754,5.36,471031528,20.593684,78.96288
297,DrossRotzank,23000000,"6,04,12,64,489",Entertainment,DrossRotzank,1598,Argentina,AR,Entertainment,1040,5,80,35539000,8900,142200,106600,1700000,100000,2006,Mar,9,90,44938712,9.79,41339571,-38.416097,-63.616672
298,White Hill Music,23000000,"10,93,99,66,484",Entertainment,White Hill Music,5718,India,IN,Music,382,60,82,93183000,23300,372700,279500,4500000,100000,2014,Mar,23,28.1,1366417754,5.36,471031528,20.593684,78.96288
299,Ultra Movie Parlour,22900000,"5,32,04,85,069",Movies,Ultra Movie Parlour,1670,India,IN,Film,1248,61,22,118846000,0,0,0,0,300000,2011,May,17,28.1,1366417754,5.36,471031528,20.593684,78.96288
300,Alan Becker,22900000,"5,38,00,73,627",Film & Animation,Alan Becker,0,United States,US,Games,4057944,7700,7453,nan,0,0,0,0,1,2006,Mar,21,88.2,328239523,14.7,270663028,37.09024,-95.712891
301,toyorbabytv,22900000,"16,29,83,42,829",Music,toyorbabytv,1159,Jordan,JO,Music,181,2,83,169056000,42300,676200,507200,8100000,300000,2012,Nov,1,34.4,10101694,14.72,9213048,30.585164,36.238414
302,BabyBus - Canciones Infantiles & Videos para Niï¿½ï,22900000,"13,20,64,71,140",Education,BabyBus - Canciones Infantiles & Videos paraï¿½,1251,Mexico,MX,Education,278,12,17,136821000,34200,547300,410500,6600000,200000,2018,Mar,19,40.2,126014024,3.42,102626859,23.634501,-102.552784
303,KL BRO Biju Rithvik,22800000,"17,98,83,47,989",Entertainment,KL BRO Biju Rithvik,1841,nan,nan,Entertainment,143,nan,79,2033000000,508100,8100000,6100000,97600000,3200000,2020,Jul,21,nan,nan,nan,nan,nan,nan
304,Vania Mania Kids,22700000,"10,11,53,16,784",People & Blogs,Vania Mania Kids,985,United States,US,Education,438,87,18,155215000,38800,620900,465600,7500000,300000,2015,Sep,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
305,Like Nastya PRT,22700000,"11,56,81,18,121",Entertainment,Like Nastya PRT,654,nan,nan,Entertainment,344,nan,82,96613000,24200,386500,289800,4600000,100000,2019,Apr,9,nan,nan,nan,nan,nan,nan
306,Sun TV,22600000,"20,84,70,38,152",People & Blogs,Sun TV,60964,India,IN,Entertainment,109,63,82,982238000,245600,3900000,2900000,47100000,600000,2016,Feb,26,28.1,1366417754,5.36,471031528,20.593684,78.96288
307,Heroindori,22600000,"9,22,35,34,599",Comedy,Heroindori,495,India,IN,Entertainment,508,62,81,399152000,99800,1600000,1200000,19200000,1400000,2020,Jun,29,28.1,1366417754,5.36,471031528,20.593684,78.96288
308,The Chainsmokers,22600000,"14,23,19,43,358",Music,The Chainsmokers,180,United States,US,Music,246,88,84,81660000,20400,326600,245000,3900000,100000,2012,Sep,22,88.2,328239523,14.7,270663028,37.09024,-95.712891
309,mmoshaya,22600000,"17,50,70,60,680",People & Blogs,mmoshaya,1189,Saudi Arabia,SA,Entertainment,156,1,83,73829000,18500,295300,221500,3500000,100000,2010,Dec,11,68,34268528,5.93,28807838,23.885942,45.079162
310,Sia,22600000,"13,40,58,49,040",Music,Sia,171,United States,US,Music,273,88,84,95253000,23800,381000,285800,4600000,nan,2007,Nov,19,88.2,328239523,14.7,270663028,37.09024,-95.712891
311,LeoNata Family,22600000,"27,08,48,48,152",People & Blogs,LeoNata Family,2321,United States,US,People,57,87,11,1174000000,293500,4700000,3500000,56300000,1300000,2021,Sep,28,88.2,328239523,14.7,270663028,37.09024,-95.712891
312,Goldmines Cineplex,22500000,"2,43,11,54,438",Film & Animation,Goldmines Cineplex,3377,India,IN,Film,3793,64,23,48740000,12200,195000,146200,2300000,200000,2015,Sep,12,28.1,1366417754,5.36,471031528,20.593684,78.96288
313,Vlad and Niki Arabic,22500000,"10,61,37,01,948",nan,Vlad and Niki Arabic,526,United States,US,Entertainment,399,89,84,65066000,16300,260300,195200,3100000,100000,2018,Nov,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
314,SSundee,22500000,"13,83,51,73,331",Gaming,SSundee,3315,United States,US,Games,261,90,21,175094000,43800,700400,525300,8400000,200000,2009,Nov,28,88.2,328239523,14.7,270663028,37.09024,-95.712891
315,Paulo Londra,22400000,"8,04,00,36,209",Music,Paulo Londra,58,Argentina,AR,Music,648,6,85,72242000,18100,289000,216700,3500000,nan,2016,Aug,8,90,44938712,9.79,41339571,-38.416097,-63.616672
316,Smile Family,22300000,"8,66,38,30,163",People & Blogs,SMILE Family,34,France,FR,Music,3805801,3046,4509,735,0.18,3,2,35,10,2019,Nov,3,65.6,67059887,8.43,54123364,46.227638,2.213749
317,FGTeeV,22300000,"24,05,93,36,857",Gaming,FGTeeV,1724,United States,US,Games,77,91,22,132110000,33000,528400,396300,6300000,100000,2013,May,24,88.2,328239523,14.7,270663028,37.09024,-95.712891
318,Kinder Spielzeug Kanal (Kidibli),22200000,"11,13,62,66,461",Entertainment,Kinder Spielzeug Kanal (Kidibli),999,United States,US,Entertainment,370,92,86,139333000,34800,557300,418000,6700000,200000,2015,Sep,25,88.2,328239523,14.7,270663028,37.09024,-95.712891
319,Charlie Puth,22000000,"9,92,48,07,127",Music,Charlie Puth,157,United States,US,Music,449,94,86,111500000,27900,446000,334500,5400000,100000,2009,Sep,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
320,Vlad and Niki ESP,22000000,"8,59,44,40,895",nan,Vlad and Niki ESP,515,United States,US,Entertainment,591,93,87,183871000,46000,735500,551600,8800000,200000,2018,Oct,11,88.2,328239523,14.7,270663028,37.09024,-95.712891
321,Sagawa /ï¿½ï¿½ï¿½,22000000,"18,34,79,69,186",Entertainment,Sagawa /ï¿½ï¿½ï¿½,6274,Japan,JP,Entertainment,144,3,88,711254000,177800,2800000,2100000,34100000,800000,2021,Feb,13,63.2,126226568,2.29,115782416,36.204824,138.252924
322,Ben Azelart,21900000,"4,45,49,17,643",Film & Animation,Ben Azelart,301,United States,US,Entertainment,1620,94,88,184946000,46200,739800,554800,8900000,500000,2014,Jun,5,88.2,328239523,14.7,270663028,37.09024,-95.712891
323,Zach Choi ASMR,21900000,"5,91,83,14,128",People & Blogs,Zach Choi ASMR,946,United States,US,People,1069,94,12,234222000,58600,936900,702700,11200000,400000,2014,Jul,5,88.2,328239523,14.7,270663028,37.09024,-95.712891
324,Topper Guild,21900000,"15,55,20,70,846",Comedy,Topper Guild,816,United States,US,Comedy,204,91,16,687028000,171800,2700000,2100000,33000000,1900000,2014,Jul,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
325,Disney Latinoamï¿½ï¿½,21900000,"20,65,75,71,751",Entertainment,disneylatinoamerica,116,Mexico,MX,Music,1277277,2973,4085,4719,1,19,14,227,nan,2008,Apr,7,40.2,126014024,3.42,102626859,23.634501,-102.552784
326,Stokes Twins,21800000,"4,46,97,11,607",People & Blogs,Stokes Twins,257,United States,US,People,1610,95,13,197953000,49500,791800,593900,9500000,600000,2008,Apr,11,88.2,328239523,14.7,270663028,37.09024,-95.712891
327,National Geographic,21800000,"5,61,46,21,131",Science & Technology,National Geographic,10162,United States,US,Entertainment,1158,95,89,45812000,11500,183200,137400,2200000,100000,2006,May,7,88.2,328239523,14.7,270663028,37.09024,-95.712891
328,Dua Lipa,21800000,"11,28,83,59,365",Music,Dua Lipa,164,United Kingdom,GB,Music,368,14,87,128047000,32000,512200,384100,6100000,100000,2011,Feb,5,60,66834405,3.85,55908316,55.378051,-3.435973
329,OneDirectionVEVO,21800000,"12,14,02,32,004",Music,OneDirectionVEVO,266,United Kingdom,GB,Music,322,14,87,51134000,12800,204500,153400,2500000,nan,2010,Dec,4,60,66834405,3.85,55908316,55.378051,-3.435973
330,Rotana,21800000,"19,32,93,51,143",Music,rotana5018,135,nan,nan,Music,926975,nan,2709,10571,3,42,32,507,100,2011,Oct,27,nan,nan,nan,nan,nan,nan
331,Netflix India,21800000,"7,78,09,34,187",People & Blogs,NETFLIX INDIA,1,nan,nan,People,4052308,nan,7665,408,0,0,0,0,nan,2017,Sep,24,nan,nan,nan,nan,nan,nan
332,Sourav Joshi Vlogs,21700000,"9,39,20,93,496",People & Blogs,Sourav Joshi Vlogs,1390,nan,nan,People,498,nan,13,265336000,66300,1100000,796000,12700000,400000,2019,Feb,19,nan,nan,nan,nan,nan,nan
333,ZAMZAM ELECTRONICS TRADING,21700000,"8,50,78,18,877",nan,ZAMZAM ELECTRONICS TRADING,15126,United Arab Emirates,AE,People,608,4,14,1598000000,399600,6400000,4800000,76700000,3400000,2020,Dec,19,36.8,9770529,2.35,8479744,23.424076,53.847818
334,DUDU e CAROL,21600000,"9,59,78,94,786",Autos & Vehicles,DUDU e CAROL,2942,Brazil,BR,Entertainment,481,15,90,193174000,48300,772700,579500,9300000,300000,2013,Mar,2,51.3,212559417,12.08,183241641,-14.235004,-51.92528
335,Village Cooking Channel,21600000,"5,86,33,77,051",Howto & Style,Village Cooking Channel,219,India,IN,Howto,1082,66,9,194604000,48700,778400,583800,9300000,400000,2018,Apr,25,28.1,1366417754,5.36,471031528,20.593684,78.96288
336,Eva Bravo Play,21600000,"9,34,63,83,505",Entertainment,Eva Bravo Play,228,United States,US,Entertainment,507,96,90,63919000,16000,255700,191800,3100000,nan,2019,May,7,88.2,328239523,14.7,270663028,37.09024,-95.712891
337,Tekashi 6ix9ine,21500000,"5,89,01,80,734",People & Blogs,Tekashi 6ix9ine,51,United States,US,Music,1081,96,88,113542000,28400,454200,340600,5400000,200000,2018,Apr,6,88.2,328239523,14.7,270663028,37.09024,-95.712891
338,Tlnovelas,21500000,"15,01,30,96,899",News & Politics,tlnovelas,158,Mexico,MX,Entertainment,1936958,2063,2940,15459,4,62,46,742,nan,2014,Jan,2,40.2,126014024,3.42,102626859,23.634501,-102.552784
339,SMOL,21500000,"22,06,55,82,014",People & Blogs,Claudio,6,nan,nan,Music,4057657,nan,5782,3,0,0.01,0.01,0.14,nan,2006,Apr,2,nan,nan,nan,nan,nan,nan
340,invictor,21500000,"8,40,96,41,722",Gaming,INVICTOR,17,Chile,CL,People,4038708,2889,7518,49,0.01,0.2,0.15,2,4,2016,Jul,26,88.5,18952038,7.09,16610135,-35.675147,-71.542969
341,YOLO,21400000,"1,57,30,58,816",Comedy,YOLO,0,Germany,DE,nan,4057944,3810,nan,nan,0,0,0,0,5,2013,Jun,11,70.2,83132799,3.04,64324835,51.165691,10.451526
342,Sidhu Moose Wala,21400000,"6,26,42,61,757",Music,Sidhu Moose Wala,114,India,IN,Music,987,67,89,160690000,40200,642800,482100,7700000,500000,2017,Oct,30,28.1,1366417754,5.36,471031528,20.593684,78.96288
343,The Royalty Family,21300000,"6,26,99,45,014",People & Blogs,The Royalty Family,733,United States,US,People,982,98,15,160227000,40100,640900,480700,7700000,200000,2017,Apr,13,88.2,328239523,14.7,270663028,37.09024,-95.712891
344,Becky G,21300000,"10,64,48,57,969",Music,Becky G,78,United States,US,Music,396,98,90,103171000,25800,412700,309500,5000000,100000,2011,Sep,6,88.2,328239523,14.7,270663028,37.09024,-95.712891
345,Ishaan Ali 11,21300000,"12,76,12,53,839",People & Blogs,Ishaan Ali 11,951,India,IN,People,301,68,16,729409000,182400,2900000,2200000,35000000,1600000,2016,Jul,27,28.1,1366417754,5.36,471031528,20.593684,78.96288
346,Infinite,21300000,"5,14,18,34,668",Entertainment,Infinite,1608,United States,US,Entertainment,1296,98,93,68350000,17100,273400,205100,3300000,200000,2014,Aug,21,88.2,328239523,14.7,270663028,37.09024,-95.712891
347,Azhan5star,21300000,"10,04,77,36,580",Entertainment,Azhan5star,669,India,IN,Entertainment,436,67,92,236293000,59100,945200,708900,11300000,600000,2021,Feb,2,28.1,1366417754,5.36,471031528,20.593684,78.96288
348,Dangal TV Channel,21300000,"12,89,54,27,184",Entertainment,Dangal TV Channel,20225,India,IN,Entertainment,291,67,92,561020000,140300,2200000,1700000,26900000,700000,2017,Aug,2,28.1,1366417754,5.36,471031528,20.593684,78.96288
349,Khan GS Research Centre,21200000,"2,07,30,73,070",Education,KHAN GS RESEARCH CENTRE,1,nan,nan,People,4057930,nan,7727,nan,0,0,0,0,nan,2017,Jan,5,nan,nan,nan,nan,nan,nan
